step,loss,geometry_interference_mean
0,6.759357929229736,0.0
1,5.903177261352539,0.0
2,4.106764793395996,0.0
3,2.5119380950927734,0.0
4,1.3258333206176758,0.0
5,0.5826287865638733,0.0
6,0.23490208387374878,0.0
7,0.10019330680370331,0.0
8,0.04763391613960266,0.0
