step,loss,geometry_interference_mean,geometry_spectral_participation,geometry_coactivation_overlap,n_features
0,3.029112960462044e-08,3.00467947189631e-08,0.0,1.0,16
1,0.20292410254478455,0.2523906095461412,0.3589457071188724,1.0,22
2,0.2019760012626648,0.2968230057379295,0.35813845053486437,1.0,29
3,0.21047794818878174,0.3406636466582616,0.35173050253479565,1.0,36
4,0.19910825788974762,0.3505142234092535,0.37196973719338117,1.0,43
5,0.21175850927829742,0.38257842242717743,0.3513311147689819,1.0,50
6,0.20485901832580566,0.38938376359772264,0.3338855829852367,1.0,57
7,0.20047348737716675,0.401717456523329,0.38226030568281816,1.0,64
