step,loss,geometry_interference_mean,geometry_spectral_participation,geometry_coactivation_overlap
0,4.577090740203857,0.4822049637635549,0.14231833418210346,0.15393739283270544
1,4.015265941619873,0.4527822422484557,0.16018276512622834,0.14405005208644864
2,3.7749156951904297,0.4469768392542998,0.1636349807182948,0.13270473290252624
3,3.6558029651641846,0.45367837076385814,0.14247338672478996,0.12760888648975646
4,2.1150450706481934,0.4524169558038314,0.14313884675502778,0.12833777356817697
5,2.463067054748535,0.45126968746383983,0.1420136551062266,0.12375009003893757
6,2.3599228858947754,0.4543994205693404,0.12822860181331633,0.11935730560116735
7,2.348332405090332,0.442270261545976,0.13332062462965646,0.11705247040828003
8,1.5990346670150757,0.43002864718437195,0.14483696818351746,0.11297150534809795
9,0.9091311097145081,0.42077498137950897,0.15090413987636567,0.10847155252868275
10,1.7438809871673584,0.4146995513389508,0.15496918956438702,0.1115190416516677
11,0.9015717506408691,0.4142590103050073,0.1559780458609263,0.10839064419905951
12,1.0181289911270142,0.4130580294877291,0.15768469174702962,0.11362568492043816
13,0.7977293729782104,0.4085021875798702,0.16010656952857974,0.11695937229674486
14,0.4170897603034973,0.4059982318431139,0.16138399243354798,0.1155238105235857
15,0.995580792427063,0.40669580176472664,0.16214445332686106,0.10888318241855788
16,0.47552427649497986,0.41005244975288707,0.16124333242575326,0.1102334857373999
17,0.34994742274284363,0.41534968341390294,0.15909643073876698,0.11108451028122235
18,0.27188631892204285,0.42352981741229695,0.1571237822373708,0.11546901904413469
19,0.5802905559539795,0.42585476860404015,0.15651967922846477,0.11701563669227609
20,0.22315524518489838,0.4267681973675887,0.15637332201004028,0.11352931268415806
21,0.17003193497657776,0.42586736877759296,0.15777406295140586,0.1162918475183516
22,0.18579526245594025,0.42617539316415787,0.16067911386489866,0.12070854694789546
23,0.28146296739578247,0.42581406484047574,0.16124469637870786,0.11863571739073427
24,0.10717253386974335,0.42564120640357334,0.1604918420314789,0.1212252117699588
25,0.16699641942977905,0.4251052464048068,0.1592957595984141,0.11636987348039879
26,0.06472712010145187,0.42581137269735336,0.15867403546969094,0.11773135877391484
27,0.046683698892593384,0.422494067500035,0.1573978861172994,0.11585257193574648
28,0.10296507179737091,0.42348553116122883,0.1547672897577286,0.1116285148242755
29,0.2412753850221634,0.4295443557202816,0.15165194769700366,0.11145687381082682
30,0.03910268098115921,0.43587906658649445,0.14737634360790253,0.117846712207962
31,0.06685741245746613,0.4461265926559766,0.14307140906651813,0.12077670789763517
32,0.087519071996212,0.45649134119351703,0.13892125884691872,0.12230149605197965
33,0.04568824917078018,0.46655025457342464,0.13562456369400025,0.13000264503007292
34,0.0656416118144989,0.47312765568494797,0.13314797282218932,0.13334052745716243
35,0.06127532199025154,0.479241235802571,0.13079026838143668,0.14053927159154625
36,0.04528575390577316,0.4734545672933261,0.1276681135098139,0.1461229081254479
37,0.01758788898587227,0.4675716410080592,0.12448173761367798,0.14680029659572633
38,0.030049875378608704,0.460282148172458,0.12484477659066519,0.1443541908672051
39,0.028925247490406036,0.45586364219586056,0.12609870533148448,0.13969586946325646
