step,loss,geometry_L6_interference_mean,geometry_L6_spectral_participation,geometry_L6_coactivation_overlap,geometry_L12_interference_mean,geometry_L12_spectral_participation,geometry_L12_coactivation_overlap,geometry_L22_interference_mean,geometry_L22_spectral_participation,geometry_L22_coactivation_overlap
0,5.5434041023254395,0.4874793117245038,0.0854893296957016,0.190119343006839,0.40993617475032806,0.12562745809555054,0.16302768987459185,0.9341361423333486,0.010416987538337709,0.15030846956930344
2,3.8379085063934326,0.5001017184307178,0.0835296630859375,0.19306826336069127,0.40730516860882443,0.10391176541646323,0.15883999305910637,0.9216709534327189,0.009909933805465697,0.15017944762434485
4,3.583894729614258,0.4949027160182595,0.07829161683718362,0.210932155679618,0.4111328764508168,0.09255888561407725,0.16164951354746396,0.9139615744352341,0.0069229513406753535,0.14796436160525758
6,3.077439546585083,0.4912106612076362,0.08008945782979329,0.20463919560947955,0.4164816703026493,0.10984963973363239,0.1538249129936517,0.8959768066803614,0.007808417081832886,0.14234563555374297
8,0.7681056261062622,0.4867168106138706,0.09284005959828695,0.19693090088694565,0.4106508909414212,0.12852554420630138,0.12810285034346489,0.862326517701149,0.009298752744992575,0.13551367392749517
10,1.8083370923995972,0.4812437693277995,0.09468570053577423,0.19713304119150288,0.4163122108827035,0.14952573776245118,0.1311922365230727,0.8007979343334833,0.012139666080474856,0.12909536218468956
12,2.173431873321533,0.47885200877984363,0.09497165381908416,0.1910608108459649,0.4197583335141341,0.14934470057487487,0.11605337884304956,0.783664807677269,0.012201713522275288,0.13400104387375258
14,1.1936088800430298,0.4785885227223237,0.09865296185016632,0.1819205226967546,0.41697658598423004,0.1479703942934672,0.11197056465796451,0.7705485125382742,0.013118421037991842,0.13134721106157557
16,0.5609269142150879,0.4805260272696614,0.109763170282046,0.18235696414500857,0.41371776536107063,0.14127310017744701,0.11447126144151705,0.7950116544961929,0.011913543939590454,0.13501049820991992
18,0.8878474235534668,0.4781547070791324,0.11627399822076163,0.18663773224851676,0.41445994439224404,0.14407466351985931,0.11914787101165153,0.7978783994913101,0.010977102319399515,0.1352930188542216
20,1.3291176557540894,0.4742186516523361,0.12075524131457012,0.19588641523129202,0.4092762228101492,0.14873536924521127,0.1206796050541326,0.7819140205780665,0.01242287258307139,0.13365207869140114
22,0.7230594158172607,0.4753445542107026,0.11562108198801675,0.20398054499120044,0.4073670661697785,0.14592208862304687,0.11227744117713136,0.7735799551010132,0.013665574789047239,0.1363934356330719
24,0.7086698412895203,0.4749558229620258,0.1087690939505895,0.20521072037088048,0.41078316296140355,0.14132002492745718,0.121161516468416,0.755375732978185,0.018411169449488323,0.14156750033252782
26,0.28368428349494934,0.46658872192104656,0.10236945549647014,0.20088311700259245,0.41287942975759506,0.1393643021583557,0.11416432735624531,0.7239385098218918,0.02620002627372742,0.1382380784724596
28,0.18845857679843903,0.4612669115886092,0.09766787389914194,0.20086962030859748,0.41183752566576004,0.14183314541975658,0.12104775817107742,0.6907918651898702,0.03262471755345662,0.1369603730217363
